Handle,Title,Body (HTML),Vendor,Product Category,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
classic-bikini,Classic Bikini,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Swimwear,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,10.00,,true,true,,,1,Classic Bikini,false,active
luxury-lingerie,Luxury Lingerie,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,12.00,,true,true,,,1,Luxury Lingerie,false,active
lingrie-classic,Lingrie Classic,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,10.00,,true,true,,,1,Lingrie Classic,false,active
closeup-toys-classic,Closeup Toys Classic,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Adult Toys,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,14.00,,true,true,,,1,Closeup Toys Classic,false,active
toys-classic-2,Toys Classic 2,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Adult Toys,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,6.00,,true,true,,,1,Toys Classic 2,false,active
closeup-toys,Closeup Toys,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Adult Toys,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,14.00,,true,true,,,1,Closeup Toys,false,active
saexid,SAEXID,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,6.00,,true,true,,,1,SAEXID,false,active
fresh-woman,Fresh Woman,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,8.00,,true,true,,,1,Fresh Woman,false,active
lancaster,Lancaster,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,6.00,,true,true,,,1,Lancaster,false,active
warming-oil,Warming Oil,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Massage Oils,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,6.00,,true,true,,,1,Warming Oil,false,active
warming-oil-classic,Warming Oil Classic,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Massage Oils,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,6.00,,true,true,,,1,Warming Oil Classic,false,active
warming-and-cooling-lubricants,Warming and Cooling Lubricants,Premium product designed for elegance and comfort.,Perfect Endings,Health & Beauty > Personal Care > Lubricants,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,12.00,,true,true,,,1,Warming and Cooling Lubricants,false,active
adam--eve-peak-wand-massager,Adam & Eve Peak Wand Massager,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,78.00,,true,true,,,1,Adam & Eve Peak Wand Massager,false,active
aneros-eupho-syn-v,Aneros Eupho Syn V,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,78.00,,true,true,,,1,Aneros Eupho Syn V,false,active
b-vibe-beginners-strap-on-harness-set-with-5-in-silicone-dildo-peg,b-Vibe Beginners Strap-On Harness Set with 5 in. Silicone Dildo Peg,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,33.00,,true,true,,,1,b-Vibe Beginners Strap-On Harness Set with 5 in. Silicone Dildo Peg,false,active
banana-pants-kissi-hot-pink,Banana Pants Kissi Hot Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,26.00,,true,true,,,1,Banana Pants Kissi Hot Pink,false,active
bang-g-spot-silicone-vibrator-pink,BANG! G-Spot Silicone Vibrator Pink,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,30.00,,true,true,,,1,BANG! G-Spot Silicone Vibrator Pink,false,active
bang-vibrating-rainbow-butt-plug,BANG! Vibrating Rainbow Butt Plug,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,30.00,,true,true,,,1,BANG! Vibrating Rainbow Butt Plug,false,active
beloved-intimacy-serum-15-ml,Beloved Intimacy Serum 15 ml,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,20.00,,true,true,,,1,Beloved Intimacy Serum 15 ml,false,active
beloved-intimacy-serum-30-ml,Beloved Intimacy Serum 30 ml,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,33.00,,true,true,,,1,Beloved Intimacy Serum 30 ml,false,active
beloved-lady-libido-boost-supplement,Beloved Lady Libido Boost Supplement,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,26.00,,true,true,,,1,Beloved Lady Libido Boost Supplement,false,active
biird-gii-glow-mint,Biird Gii Glow Mint,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,65.00,,true,true,,,1,Biird Gii Glow Mint,false,active
box-of-dares-100-prompts-for-couples-game,Box of Dares: 100 Prompts for Couples Game,Premium product designed for elegance and comfort.,Perfect Endings,Apparel & Accessories > Clothing > Underwear & Socks > Lingerie,"lingerie, luxury, women, adult, oils, toys",true,,,null,,shopify,2,deny,manual,8.00,,true,true,,,1,Box of Dares: 100 Prompts for Couples Game,false,active
